"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"1"	"Alabama"	"01"	"1990"	"1990"	59777
	"< 1 year"	"1"	"Alabama"	"01"	"1991"	"1991"	60359
	"< 1 year"	"1"	"Alabama"	"01"	"1992"	"1992"	60575
	"< 1 year"	"1"	"Alabama"	"01"	"1993"	"1993"	59700
	"< 1 year"	"1"	"Alabama"	"01"	"1994"	"1994"	58711
	"< 1 year"	"1"	"Alabama"	"01"	"1995"	"1995"	58148
	"< 1 year"	"1"	"Alabama"	"01"	"1996"	"1996"	57371
	"< 1 year"	"1"	"Alabama"	"01"	"1997"	"1997"	58359
	"< 1 year"	"1"	"Alabama"	"01"	"1998"	"1998"	58377
	"< 1 year"	"1"	"Alabama"	"01"	"1999"	"1999"	58787
	"< 1 year"	"1"	"Alabama"	"01"	"2000"	"2000"	59617
	"< 1 year"	"1"	"Alabama"	"01"	"2001"	"2001"	61537
	"< 1 year"	"1"	"Alabama"	"01"	"2002"	"2002"	58963
	"< 1 year"	"1"	"Alabama"	"01"	"2003"	"2003"	58021
	"< 1 year"	"1"	"Alabama"	"01"	"2004"	"2004"	58927
	"< 1 year"	"1"	"Alabama"	"01"	"2005"	"2005"	59424
	"< 1 year"	"1"	"Alabama"	"01"	"2006"	"2006"	60823
	"< 1 year"	"1"	"Alabama"	"01"	"2007"	"2007"	62907
	"< 1 year"	"1"	"Alabama"	"01"	"2008"	"2008"	63816
	"< 1 year"	"1"	"Alabama"	"01"	"2009"	"2009"	61793
	"< 1 year"	"1"	"Alabama"	"01"	"2010"	"2010"	59273
	"< 1 year"	"1"	"Alabama"	"01"	"2011"	"2011"	59163
	"< 1 year"	"1"	"Alabama"	"01"	"2012"	"2012"	58523
	"< 1 year"	"1"	"Alabama"	"01"	"2013"	"2013"	57404
	"< 1 year"	"1"	"Alabama"	"01"	"2014"	"2014"	58327
	"< 1 year"	"1"	"Alabama"	"01"	"2015"	"2015"	59103
	"< 1 year"	"1"	"Alabama"	"01"	"2016"	"2016"	58829
	"< 1 year"	"1"	"Alabama"	"01"	"2017"	"2017"	57747
	"< 1 year"	"1"	"Alabama"	"01"	"2018"	"2018"	56739
"Total"	"< 1 year"	"1"	"Alabama"	"01"			1721100
	"< 1 year"	"1"	"Alaska"	"02"	"1990"	"1990"	12009
	"< 1 year"	"1"	"Alaska"	"02"	"1991"	"1991"	11439
	"< 1 year"	"1"	"Alaska"	"02"	"1992"	"1992"	11073
